"Date","Time","Open","High","Low","Close","Vol","OI"
03/31/2017,06:59,111.395,111.808,111.259,111.761,0,0
04/01/2017,06:59,111.699,112.068,110.997,111.044,0,0
04/04/2017,06:59,111.058,111.398,110.549,110.726,0,0
04/05/2017,06:59,110.690,110.727,109.995,110.516,0,0
04/06/2017,06:59,110.505,110.901,110.128,110.145,0,0
04/07/2017,06:59,110.135,110.628,109.666,110.238,0,0
04/08/2017,06:59,110.230,110.396,109.665,110.017,0,0
04/11/2017,06:59,109.949,110.482,109.875,109.960,0,0
04/12/2017,06:59,109.853,109.977,108.792,108.794,0,0
04/13/2017,06:59,108.689,109.036,108.519,108.627,0,0
04/14/2017,06:59,108.607,108.930,108.390,108.442,0,0
04/15/2017,06:59,108.378,108.686,107.900,107.944,0,0
04/18/2017,06:59,108.288,108.548,107.676,108.428,0,0
04/19/2017,06:59,108.349,108.971,108.333,108.852,0,0
04/20/2017,06:59,108.794,109.414,108.747,109.032,0,0
04/21/2017,06:59,108.923,109.910,108.900,109.442,0,0
04/22/2017,06:59,109.426,109.640,109.074,109.432,0,0
04/25/2017,06:59,111.593,111.600,110.046,110.213,0,0
04/26/2017,06:59,110.213,111.920,110.033,111.793,0,0
04/27/2017,06:59,111.637,112.331,111.611,111.797,0,0
04/28/2017,06:59,111.708,112.370,111.606,111.869,0,0
04/29/2017,06:59,111.867,112.613,111.677,112.002,0,0
05/02/2017,06:59,111.914,112.498,111.839,112.241,0,0
05/03/2017,06:59,112.224,113.104,112.171,112.967,0,0
05/04/2017,06:59,112.796,113.609,112.790,113.361,0,0
05/05/2017,06:59,113.285,114.009,113.161,114.005,0,0
05/06/2017,06:59,113.975,114.206,113.411,114.022,0,0
05/09/2017,06:59,114.216,114.309,112.974,113.354,0,0
05/10/2017,06:59,113.364,113.730,112.905,113.138,0,0
05/11/2017,06:59,113.116,113.436,112.868,113.261,0,0
05/12/2017,06:59,113.221,113.370,112.672,112.961,0,0
05/13/2017,06:59,112.927,113.456,112.633,113.174,0,0
05/16/2017,06:59,113.077,114.211,112.975,114.161,0,0
05/17/2017,06:59,114.123,114.959,113.849,114.718,0,0
05/18/2017,06:59,114.664,114.761,113.185,113.211,0,0
05/19/2017,06:59,113.173,113.845,112.496,113.757,0,0
