"Date","Close"
20170921,20347.48
20170922,20296.45
20170925,20397.58
20170926,20330.19
20170927,20267.05
20170928,20363.11
20170929,20356.28
20171002,20400.78
20171003,20614.07
20171004,20626.66
20171005,20628.56
20171006,20690.71
20171010,20823.51
20171011,20881.27
20171012,20954.72
20171013,21155.18
20171016,21255.56
20171017,21336.12
20171018,21363.05
20171019,21448.52
20171020,21457.64
20171023,21696.65
20171024,21805.17
20171025,21707.62
20171026,21739.78
20171027,22008.45
20171030,22011.67
20171031,22011.61
20171101,22420.08
20171102,22539.12
20171106,22548.35
20171107,22937.60
20171108,22913.82
20171109,22868.71
20171110,22681.42
20171113,22380.99
20171114,22380.01
20171115,22028.32
20171116,22351.12
20171117,22396.80
20171120,22261.76
20171121,22416.48
20171122,22523.15
20171124,22550.85
20171127,22495.99
20171128,22486.24
20171129,22597.20
20171130,22724.96
20171201,22819.03
20171204,22707.16
20171205,22622.38
20171206,22177.04
20171207,22498.03
20171208,22811.08
20171211,22938.73
20171212,22866.17
20171213,22758.07
20171214,22694.45
20171215,22553.22
20171218,22901.77
20171219,22868.00
20171220,22891.72
20171221,22866.10
20171222,22902.76
20171225,22939.18
20171226,22892.69
20171227,22911.21
20171228,22783.98
20171229,22764.94
20180104,23506.33
20180105,23714.53
20180109,23849.99
20180110,23788.20
20180111,23710.43
20180112,23653.82
20180115,23714.88
20180116,23951.81
20180117,23868.34
20180118,23763.37
20180119,23808.06
20180122,23816.33
20180123,24124.15
20180124,23940.78
20180125,23669.49
20180126,23631.88
20180129,23629.34
20180130,23291.97
20180131,23098.29
20180201,23486.11
20180202,23274.53
20180205,22682.08
20180206,21610.24
20180207,21645.37
20180208,21890.86
20180209,21382.62
20180213,21244.68
20180214,21154.17
20180215,21464.98
20180216,21720.25
20180219,22149.21
20180220,21925.10
20180221,21970.81
20180222,21736.44
20180223,21892.78
20180226,22153.63
20180227,22389.86
20180228,22068.24
20180301,21724.47
20180302,21181.64
20180305,21042.09
20180306,21417.76
20180307,21252.72
