"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年07月19日","2772.55","2,791.02","2,805.01","2,764.49","11.45B","-0.53%"
"2018年07月18日","2787.26","2,801.78","2,818.40","2,786.04","12.10B","-0.39%"
"2018年07月17日","2798.13","2,806.89","2,806.92","2,774.76","10.54B","-0.57%"
"2018年07月16日","2814.04","2,827.08","2,837.51","2,804.49","10.78B","-0.61%"
"2018年07月13日","2831.18","2,831.43","2,835.46","2,818.85","11.77B","-0.23%"
"2018年07月12日","2837.66","2,771.04","2,844.19","2,771.04","14.70B","2.16%"
"2018年07月11日","2777.77","2,780.70","2,794.36","2,752.43","12.68B","-1.76%"
"2018年07月10日","2827.63","2,819.71","2,828.49","2,800.63","11.71B","0.44%"
"2018年07月09日","2815.11","2,752.45","2,815.79","2,752.45","12.15B","2.47%"
"2018年07月06日","2747.23","2,731.35","2,768.87","2,691.02","13.63B","0.49%"
"2018年07月05日","2733.88","2,755.34","2,777.52","2,727.94","12.92B","-0.92%"
"2018年07月04日","2759.13","2,776.63","2,793.18","2,754.16","12.33B","-1.00%"
"2018年07月03日","2786.89","2,774.57","2,786.89","2,722.45","14.25B","0.41%"
"2018年07月02日","2775.56","2,841.58","2,845.68","2,756.82","13.70B","-2.52%"
"2018年06月29日","2847.42","2,789.81","2,848.37","2,782.38","12.57B","2.17%"
"2018年06月28日","2786.90","2,799.90","2,825.99","2,782.45","11.84B","-0.93%"
"2018年06月27日","2813.18","2,842.40","2,854.26","2,798.80","12.94B","-1.10%"
"2018年06月26日","2844.51","2,829.99","2,850.24","2,803.79","12.59B","-0.52%"
"2018年06月25日","2859.34","2,903.45","2,908.62","2,857.87","12.19B","-1.05%"
"2018年06月22日","2889.76","2,855.58","2,891.97","2,837.14","12.61B","0.49%"
"2018年06月21日","2875.81","2,912.00","2,940.59","2,872.62","15.44B","-1.37%"
"2018年06月20日","2915.73","2,889.98","2,925.56","2,872.16","14.43B","0.27%"
"2018年06月19日","2907.82","2,982.65","2,984.97","2,871.35","23.05B","-3.78%"
"2018年06月15日","3021.90","3,037.45","3,048.80","3,008.73","14.45B","-0.73%"
"2018年06月14日","3044.16","3,038.07","3,066.05","3,032.41","11.55B","-0.18%"
"2018年06月13日","3049.80","3,071.46","3,071.46","3,044.12","11.96B","-0.97%"
"2018年06月12日","3079.80","3,053.03","3,081.45","3,034.10","11.33B","0.89%"
"2018年06月11日","3052.78","3,057.34","3,063.61","3,037.91","10.86B","-0.47%"
