Date,Close
"20180130","3488.01"
"20180129","3523.00"
"20180126","3558.13"
"20180125","3548.31"
"20180124","3559.47"
"20180123","3546.50"
"20180122","3501.36"
"20180119","3487.86"
"20180118","3474.75"
"20180117","3444.67"
"20180116","3436.59"
"20180115","3410.49"
"20180112","3428.94"
"20180111","3425.34"
"20180110","3421.83"
"20180109","3413.90"
"20180108","3409.48"
"20180105","3391.75"
"20180104","3385.71"
"20180103","3369.11"
"20180102","3348.33"
"20171229","3307.17"
"20171228","3296.38"
"20171227","3275.78"
"20171226","3306.12"
"20171225","3280.46"
"20171222","3297.06"
"20171221","3300.06"
"20171220","3287.61"
"20171219","3296.54"
"20171218","3267.92"
"20171215","3266.14"
"20171214","3292.44"
"20171213","3303.04"
"20171212","3280.81"
"20171211","3322.20"
"20171208","3289.99"
"20171207","3272.05"
"20171206","3293.96"
"20171205","3303.68"
"20171204","3309.62"
"20171201","3317.62"
"20171130","3317.19"
"20171129","3337.86"
"20171128","3333.66"
"20171127","3322.23"
"20171124","3353.82"
"20171123","3351.92"
"20171122","3430.46"
"20171121","3410.50"
"20171120","3392.40"
"20171117","3382.91"
"20171116","3399.25"
"20171115","3402.52"
"20171114","3429.55"
"20171113","3447.84"
"20171110","3432.67"
"20171109","3427.79"
"20171108","3415.46"
"20171107","3413.57"
"20171106","3388.17"
"20171103","3371.74"
"20171102","3383.31"
"20171101","3395.91"
"20171031","3393.34"
"20171030","3390.34"
"20171027","3416.81"
"20171026","3407.57"
"20171025","3396.90"
"20171024","3388.25"
"20171023","3380.70"
"20171020","3378.65"
"20171019","3370.17"
"20171018","3381.79"
"20171017","3372.04"
"20171016","3378.47"
"20171013","3390.52"
"20171012","3386.10"
"20171011","3388.28"
"20171010","3382.99"
"20171009","3374.38"
"20170929","3348.94"
"20170928","3339.64"
"20170927","3345.27"
"20170926","3343.58"
"20170925","3341.55"
"20170922","3352.53"
"20170921","3357.81"
"20170920","3366.00"
"20170919","3356.84"
"20170918","3362.86"
"20170915","3353.62"
"20170914","3371.43"
"20170913","3384.15"
"20170912","3379.49"
"20170911","3376.42"
"20170908","3365.24"
"20170907","3365.50"
"20170906","3385.39"
"20170905","3384.32"
"20170904","3379.58"
"20170901","3367.12"
"20170831","3360.81"
"20170830","3363.63"
"20170829","3365.23"
"20170828","3362.65"
"20170825","3331.52"
"20170824","3271.51"
"20170823","3287.70"
"20170822","3290.23"
"20170821","3286.91"
"20170818","3268.72"
"20170817","3268.43"
"20170816","3246.45"
"20170815","3251.26"
"20170814","3237.36"
"20170811","3208.54"
"20170810","3261.75"
"20170809","3275.57"
"20170808","3281.87"
"20170807","3279.46"
"20170804","3262.08"
"20170803","3272.93"
"20170802","3285.06"
"20170801","3292.64"
"20170731","3273.03"
"20170728","3253.24"
"20170727","3249.78"
"20170726","3247.67"
"20170725","3243.69"
"20170724","3250.60"
"20170721","3237.98"
"20170720","3244.86"
"20170719","3230.98"
"20170718","3187.57"
"20170717","3176.46"
"20170714","3222.42"
"20170713","3218.16"
"20170712","3197.54"
"20170711","3203.04"
"20170710","3212.63"
"20170707","3217.96"
"20170706","3212.44"
"20170705","3207.13"
"20170704","3182.80"
"20170703","3195.91"
"20170630","3192.43"
"20170629","3188.06"
"20170628","3173.20"
"20170627","3191.20"
"20170626","3185.44"
"20170623","3157.87"
"20170622","3147.45"
"20170621","3156.21"
"20170620","3140.01"
"20170619","3144.37"
"20170616","3123.17"
"20170615","3132.49"
"20170614","3130.67"
"20170613","3153.74"
"20170612","3139.88"
"20170609","3158.40"
"20170608","3150.33"
"20170607","3140.32"
"20170606","3102.13"
"20170605","3091.66"
"20170602","3105.54"
"20170601","3102.62"
"20170531","3117.18"
"20170526","3110.06"
"20170525","3107.83"
"20170524","3064.08"
"20170523","3061.95"
"20170522","3075.68"
"20170519","3090.63"
"20170518","3090.14"
"20170517","3104.44"
"20170516","3112.96"
"20170515","3090.23"
"20170512","3083.51"
"20170511","3061.50"
"20170510","3052.78"
"20170509","3080.53"
"20170508","3078.61"
"20170505","3103.04"
"20170504","3127.37"
"20170503","3135.35"
"20170502","3143.71"
"20170428","3154.66"
"20170427","3152.19"
"20170426","3140.85"
"20170425","3134.57"
"20170424","3129.53"
"20170421","3173.15"
"20170420","3172.10"
"20170419","3170.69"
"20170418","3196.71"
"20170417","3222.17"
"20170414","3246.07"
"20170413","3275.96"
"20170412","3273.83"
"20170411","3288.97"
"20170410","3269.39"
"20170407","3286.62"
"20170406","3281.00"
"20170405","3270.31"
"20170331","3222.51"
"20170330","3210.24"
"20170329","3241.31"
"20170328","3252.95"
"20170327","3266.96"
"20170324","3269.45"
"20170323","3248.55"
"20170322","3245.22"
"20170321","3261.61"
"20170320","3250.81"
"20170317","3237.45"
"20170316","3268.94"
"20170315","3241.76"
"20170314","3239.33"
"20170313","3237.02"
"20170310","3212.76"
"20170309","3216.75"
"20170308","3240.66"
"20170307","3242.41"
"20170306","3233.87"
"20170303","3218.31"
"20170302","3230.03"
"20170301","3246.93"
"20170228","3241.73"
"20170227","3228.66"
"20170224","3253.43"
"20170223","3251.38"
"20170222","3261.22"
"20170221","3253.33"
"20170220","3239.96"
"20170217","3202.08"
"20170216","3229.62"
"20170215","3212.99"
"20170214","3217.93"
"20170213","3216.84"
"20170210","3196.70"
"20170209","3183.18"
"20170208","3166.98"
"20170207","3153.09"
"20170206","3156.98"
"20170203","3140.17"

